split,duration,era,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15,key_16,key_17,key_18,key_19,key_20,key_21,key_22,key_23,key_24,key_25,key_26,key_27,key_28,key_29,key_30,key_31,key_32,key_33,key_34,key_35,key_36,key_37,key_38,key_39,key_40,key_41,key_42,key_43,key_44,key_45,key_46,key_47,key_48,key_49,key_50,key_51,key_52,key_53,key_54,key_55,key_56,key_57,key_58,key_59,key_60,key_61,key_62,key_63,key_64,key_65,key_66,key_67,key_68,key_69,key_70,key_71,key_72,key_73,key_74,key_75,key_76,key_77,key_78,key_79,key_80,key_81,key_82,key_83,key_84,key_85,key_86,key_87,pitch_range,tempo,avg_note_duration,avg_velocity,velocity_range
train,463.605305625,post-romantic,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,13.0,2.0,7.0,4.0,2.0,31.0,1.0,11.0,4.0,4.0,11.0,0.0,62.0,10.0,13.0,8.0,9.0,33.0,10.0,34.0,20.0,47.0,51.0,7.0,86.0,83.0,22.0,38.0,59.0,139.0,53.0,55.0,34.0,53.0,110.0,40.0,125.0,67.0,69.0,28.0,43.0,78.0,14.0,38.0,17.0,38.0,19.0,4.0,28.0,5.0,7.0,1.0,9.0,16.0,2.0,12.0,10.0,10.0,11.0,0.0,15.0,6.0,10.0,0.0,1.0,14.0,0.0,13.0,6.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,82.0,192.89059848399455,0.22797810530462187,57.450630252100844,113.0
train,613.737367031,romantic,0.0,5.0,7.0,8.0,4.0,8.0,22.0,24.0,14.0,11.0,13.0,43.0,10.0,35.0,82.0,21.0,70.0,30.0,83.0,99.0,29.0,76.0,23.0,136.0,30.0,68.0,161.0,25.0,138.0,39.0,142.0,182.0,54.0,141.0,42.0,294.0,86.0,144.0,265.0,39.0,205.0,78.0,297.0,327.0,77.0,200.0,77.0,345.0,132.0,145.0,274.0,47.0,201.0,44.0,212.0,192.0,38.0,97.0,26.0,150.0,42.0,43.0,70.0,7.0,53.0,6.0,35.0,37.0,1.0,24.0,0.0,17.0,8.0,1.0,15.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,209.87854251013383,0.18897696198384684,58.394255455712454,97.0
train,685.005992344,romantic,0.0,5.0,7.0,7.0,4.0,8.0,21.0,24.0,12.0,11.0,13.0,44.0,9.0,35.0,80.0,21.0,68.0,32.0,86.0,101.0,31.0,75.0,24.0,139.0,28.0,71.0,161.0,23.0,143.0,39.0,144.0,184.0,51.0,146.0,40.0,291.0,83.0,140.0,262.0,41.0,208.0,73.0,290.0,318.0,77.0,203.0,78.0,346.0,131.0,147.0,273.0,45.0,204.0,44.0,214.0,187.0,34.0,98.0,27.0,152.0,42.0,42.0,71.0,6.0,53.0,6.0,37.0,39.0,1.0,22.0,0.0,19.0,8.0,1.0,14.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,209.17283120377928,0.22355493870578835,63.39662379421222,113.0
train,661.909149792,romantic,0.0,5.0,7.0,6.0,4.0,6.0,24.0,22.0,13.0,11.0,12.0,44.0,9.0,35.0,83.0,22.0,69.0,30.0,85.0,96.0,29.0,74.0,23.0,135.0,28.0,71.0,158.0,25.0,139.0,38.0,141.0,184.0,53.0,142.0,39.0,284.0,85.0,143.0,245.0,40.0,209.0,76.0,292.0,316.0,78.0,206.0,79.0,339.0,134.0,141.0,271.0,43.0,212.0,46.0,210.0,180.0,36.0,100.0,27.0,146.0,44.0,41.0,71.0,9.0,55.0,10.0,34.0,38.0,1.0,26.0,2.0,18.0,7.0,1.0,15.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,207.8098471986406,0.21301712393439107,62.332793784396245,106.0
train,1117.95828375,romantic,0.0,1.0,0.0,3.0,24.0,7.0,20.0,10.0,29.0,66.0,12.0,27.0,33.0,65.0,46.0,37.0,176.0,52.0,99.0,49.0,93.0,181.0,47.0,99.0,88.0,127.0,106.0,77.0,306.0,112.0,190.0,127.0,177.0,343.0,103.0,258.0,237.0,315.0,328.0,160.0,392.0,214.0,361.0,236.0,281.0,461.0,149.0,383.0,244.0,364.0,327.0,142.0,361.0,135.0,262.0,144.0,132.0,223.0,71.0,152.0,103.0,84.0,85.0,14.0,71.0,29.0,18.0,13.0,10.0,18.0,1.0,5.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,207.70791075050704,0.2687666257581988,65.49110722730543,119.0
validation,440.110403906,modern,0.0,0.0,1.0,2.0,8.0,4.0,8.0,3.0,4.0,49.0,1.0,22.0,12.0,17.0,24.0,25.0,73.0,30.0,19.0,19.0,15.0,115.0,19.0,50.0,26.0,19.0,33.0,48.0,144.0,43.0,30.0,30.0,61.0,153.0,38.0,71.0,83.0,187.0,174.0,87.0,190.0,85.0,160.0,109.0,211.0,269.0,85.0,186.0,93.0,202.0,114.0,81.0,170.0,116.0,190.0,82.0,151.0,149.0,45.0,160.0,76.0,197.0,71.0,63.0,102.0,59.0,61.0,64.0,111.0,73.0,12.0,46.0,21.0,36.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,208.77129394708447,0.15491582961309538,70.30821428571429,117.0
train,659.835660317,romantic,0.0,8.0,17.0,2.0,8.0,5.0,46.0,8.0,16.0,22.0,11.0,14.0,37.0,32.0,55.0,17.0,44.0,23.0,79.0,81.0,47.0,101.0,38.0,82.0,57.0,68.0,48.0,58.0,101.0,68.0,108.0,128.0,55.0,118.0,105.0,166.0,142.0,126.0,199.0,172.0,201.0,238.0,239.0,238.0,169.0,274.0,224.0,304.0,168.0,235.0,217.0,273.0,163.0,167.0,247.0,133.0,122.0,194.0,116.0,125.0,68.0,114.0,99.0,101.0,73.0,51.0,55.0,63.0,82.0,36.0,24.0,46.0,10.0,35.0,21.0,23.0,9.0,6.0,14.0,6.0,7.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,82.0,206.01936665795353,0.19633504080184497,67.99427887174029,110.0
train,644.840434219,romantic,1.0,15.0,15.0,2.0,10.0,4.0,51.0,8.0,25.0,29.0,7.0,23.0,31.0,46.0,63.0,14.0,52.0,20.0,83.0,85.0,47.0,128.0,38.0,100.0,62.0,77.0,58.0,61.0,104.0,64.0,114.0,139.0,63.0,128.0,111.0,185.0,144.0,135.0,206.0,203.0,216.0,240.0,268.0,251.0,172.0,328.0,235.0,326.0,196.0,256.0,226.0,269.0,183.0,185.0,238.0,131.0,124.0,208.0,120.0,139.0,65.0,118.0,108.0,97.0,88.0,44.0,58.0,64.0,87.0,47.0,24.0,63.0,10.0,37.0,19.0,25.0,9.0,4.0,17.0,1.0,6.0,8.0,1.0,7.0,2.0,0.0,0.0,0.0,84.0,209.48855333657468,0.14950226892578358,69.55718002725808,121.0
test,426.268270313,romantic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,38.0,11.0,23.0,8.0,23.0,57.0,36.0,20.0,29.0,11.0,19.0,44.0,71.0,42.0,47.0,38.0,41.0,22.0,82.0,38.0,77.0,75.0,41.0,70.0,93.0,64.0,112.0,82.0,71.0,86.0,132.0,95.0,183.0,151.0,76.0,88.0,147.0,77.0,122.0,123.0,72.0,104.0,143.0,66.0,99.0,84.0,51.0,66.0,66.0,58.0,69.0,40.0,35.0,20.0,69.0,20.0,43.0,28.0,6.0,15.0,22.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,209.4926350245541,0.2122536853188931,71.29886539453327,124.0
test,520.139704219,romantic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,39.0,12.0,26.0,10.0,11.0,52.0,32.0,16.0,31.0,13.0,19.0,52.0,64.0,42.0,48.0,35.0,36.0,23.0,90.0,40.0,77.0,79.0,41.0,69.0,94.0,59.0,116.0,79.0,76.0,90.0,132.0,97.0,165.0,127.0,77.0,93.0,167.0,79.0,156.0,141.0,72.0,110.0,153.0,76.0,114.0,87.0,53.0,67.0,95.0,59.0,94.0,45.0,34.0,21.0,76.0,21.0,47.0,28.0,7.0,14.0,34.0,0.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,213.27349228612238,0.21794758312807858,61.83571428571429,111.0
test,520.215825937,romantic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,38.0,10.0,16.0,5.0,5.0,46.0,37.0,11.0,25.0,14.0,17.0,44.0,65.0,38.0,42.0,34.0,31.0,18.0,82.0,30.0,74.0,74.0,41.0,65.0,92.0,59.0,104.0,77.0,65.0,90.0,124.0,88.0,162.0,123.0,71.0,82.0,134.0,74.0,116.0,116.0,68.0,98.0,149.0,68.0,104.0,77.0,47.0,60.0,74.0,54.0,75.0,40.0,34.0,18.0,67.0,22.0,40.0,24.0,8.0,14.0,21.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,194.14681575109213,0.31946523190200976,59.53619598128269,105.0
validation,319.910203594,romantic,0.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,4.0,1.0,0.0,26.0,0.0,10.0,11.0,14.0,17.0,6.0,43.0,8.0,18.0,10.0,2.0,88.0,4.0,28.0,16.0,30.0,23.0,24.0,107.0,5.0,32.0,47.0,11.0,72.0,24.0,53.0,6.0,107.0,95.0,46.0,134.0,34.0,93.0,42.0,103.0,159.0,46.0,131.0,25.0,149.0,90.0,37.0,118.0,24.0,120.0,31.0,54.0,75.0,11.0,69.0,12.0,52.0,24.0,11.0,56.0,8.0,35.0,4.0,17.0,21.0,2.0,16.0,0.0,13.0,7.0,1.0,10.0,2.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,86.0,207.99699078427687,0.2122733562624138,67.34980722046969,113.0
train,232.765525781,baroque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,22.0,5.0,31.0,1.0,34.0,52.0,11.0,51.0,8.0,65.0,30.0,19.0,41.0,29.0,83.0,14.0,36.0,43.0,19.0,53.0,9.0,76.0,22.0,17.0,22.0,20.0,58.0,10.0,44.0,77.0,16.0,112.0,56.0,183.0,62.0,151.0,140.0,72.0,233.0,57.0,175.0,183.0,29.0,220.0,17.0,205.0,152.0,39.0,137.0,12.0,89.0,10.0,42.0,15.0,9.0,30.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,232.9535290686376,0.08758949720068916,68.68188343382141,97.0
train,193.30108875,classical,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,42.0,0.0,6.0,8.0,7.0,7.0,6.0,15.0,44.0,0.0,4.0,5.0,20.0,2.0,27.0,9.0,38.0,9.0,13.0,5.0,25.0,9.0,5.0,37.0,27.0,7.0,36.0,49.0,12.0,12.0,71.0,35.0,63.0,75.0,8.0,65.0,77.0,16.0,93.0,82.0,25.0,20.0,38.0,25.0,56.0,32.0,7.0,47.0,15.0,4.0,69.0,26.0,39.0,5.0,17.0,14.0,7.0,18.0,0.0,16.0,0.0,8.0,7.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,218.23348330571062,0.16253063725490224,52.49335863377609,97.0
train,482.755208333,romantic,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,40.0,0.0,18.0,9.0,10.0,12.0,6.0,89.0,9.0,50.0,50.0,11.0,127.0,1.0,98.0,48.0,32.0,18.0,9.0,163.0,29.0,80.0,74.0,38.0,142.0,22.0,198.0,45.0,109.0,106.0,55.0,233.0,75.0,126.0,99.0,95.0,231.0,44.0,231.0,54.0,235.0,206.0,77.0,249.0,49.0,262.0,62.0,123.0,165.0,16.0,120.0,26.0,68.0,47.0,18.0,54.0,5.0,27.0,5.0,22.0,23.0,1.0,6.0,3.0,6.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,212.70310192022833,0.21455396303258106,64.77944862155388,108.0
train,984.527594531,impressionist,1.0,5.0,2.0,6.0,92.0,4.0,6.0,3.0,7.0,3.0,51.0,49.0,9.0,45.0,16.0,39.0,24.0,40.0,53.0,4.0,38.0,29.0,29.0,42.0,30.0,46.0,96.0,54.0,47.0,32.0,82.0,56.0,78.0,80.0,74.0,84.0,278.0,191.0,73.0,159.0,254.0,430.0,459.0,213.0,345.0,285.0,314.0,257.0,247.0,310.0,102.0,325.0,290.0,122.0,188.0,105.0,145.0,166.0,82.0,74.0,131.0,149.0,99.0,135.0,75.0,60.0,67.0,49.0,37.0,63.0,65.0,82.0,32.0,46.0,19.0,42.0,25.0,23.0,16.0,10.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,84.0,219.613120269088,0.20298574061940994,55.13041307874703,116.0
train,274.671199688,modern,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,10.0,0.0,15.0,0.0,9.0,7.0,6.0,14.0,5.0,21.0,4.0,4.0,20.0,12.0,21.0,2.0,16.0,27.0,18.0,27.0,2.0,38.0,31.0,39.0,28.0,36.0,85.0,9.0,51.0,43.0,63.0,79.0,26.0,152.0,67.0,71.0,56.0,44.0,104.0,6.0,56.0,35.0,50.0,55.0,13.0,53.0,28.0,47.0,17.0,11.0,74.0,3.0,42.0,10.0,34.0,14.0,2.0,36.0,7.0,5.0,9.0,2.0,7.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,206.80538555691257,0.15960105042937273,53.76866456361724,104.0
test,270.703522031,impressionist,1.0,0.0,10.0,6.0,1.0,11.0,0.0,24.0,23.0,2.0,26.0,3.0,47.0,11.0,26.0,11.0,14.0,19.0,6.0,34.0,35.0,4.0,38.0,18.0,100.0,19.0,40.0,42.0,27.0,62.0,36.0,69.0,108.0,36.0,69.0,96.0,135.0,69.0,95.0,86.0,68.0,88.0,55.0,89.0,109.0,35.0,81.0,87.0,99.0,63.0,74.0,53.0,40.0,59.0,25.0,58.0,51.0,7.0,60.0,7.0,53.0,12.0,21.0,10.0,6.0,13.0,4.0,18.0,13.0,1.0,30.0,2.0,26.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,210.72081847775513,0.12991847983125274,62.617198335644936,114.0
train,90.9961696875,impressionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,9.0,2.0,7.0,0.0,0.0,3.0,2.0,1.0,5.0,4.0,3.0,12.0,39.0,21.0,38.0,28.0,22.0,32.0,25.0,34.0,26.0,59.0,55.0,61.0,88.0,39.0,66.0,42.0,57.0,51.0,40.0,43.0,31.0,38.0,31.0,32.0,40.0,16.0,36.0,9.0,28.0,21.0,16.0,25.0,12.0,24.0,16.0,11.0,16.0,2.0,11.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,213.10119695321006,0.05709819217434356,57.705052005943536,98.0
train,242.578550156,impressionist,1.0,5.0,1.0,6.0,63.0,3.0,3.0,3.0,7.0,3.0,6.0,89.0,2.0,21.0,7.0,26.0,4.0,24.0,3.0,3.0,2.0,22.0,10.0,25.0,1.0,19.0,5.0,22.0,21.0,22.0,35.0,4.0,23.0,40.0,20.0,33.0,18.0,49.0,56.0,93.0,110.0,68.0,85.0,48.0,103.0,114.0,110.0,126.0,95.0,119.0,76.0,92.0,79.0,73.0,59.0,38.0,29.0,32.0,44.0,45.0,23.0,38.0,38.0,57.0,36.0,42.0,43.0,30.0,26.0,29.0,32.0,34.0,25.0,32.0,22.0,37.0,19.0,21.0,14.0,9.0,11.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,87.0,216.22926093514405,0.061074847236237094,60.25361587621931,113.0
train,903.260314687,modern,0.0,1.0,0.0,7.0,9.0,9.0,10.0,7.0,10.0,20.0,22.0,35.0,14.0,17.0,12.0,18.0,36.0,14.0,35.0,20.0,19.0,27.0,48.0,55.0,40.0,37.0,40.0,28.0,41.0,42.0,69.0,82.0,49.0,108.0,103.0,103.0,125.0,190.0,139.0,314.0,214.0,373.0,297.0,319.0,444.0,284.0,300.0,226.0,153.0,176.0,190.0,215.0,207.0,94.0,135.0,95.0,163.0,201.0,122.0,144.0,72.0,89.0,100.0,88.0,75.0,30.0,57.0,44.0,55.0,78.0,34.0,73.0,16.0,108.0,18.0,65.0,4.0,43.0,8.0,41.0,4.0,8.0,1.0,4.0,1.0,3.0,0.0,0.0,84.0,209.20913884008365,0.24554651029042066,59.80056558039321,110.0
train,679.697504063,impressionist,0.0,3.0,1.0,3.0,9.0,2.0,6.0,8.0,4.0,8.0,11.0,8.0,7.0,33.0,15.0,42.0,15.0,15.0,32.0,7.0,14.0,33.0,49.0,16.0,11.0,77.0,24.0,20.0,150.0,42.0,69.0,28.0,75.0,102.0,161.0,123.0,190.0,200.0,243.0,144.0,316.0,187.0,204.0,81.0,257.0,155.0,220.0,167.0,135.0,143.0,189.0,101.0,220.0,149.0,165.0,89.0,160.0,165.0,146.0,98.0,68.0,84.0,95.0,47.0,87.0,30.0,52.0,54.0,24.0,68.0,12.0,35.0,2.0,9.0,23.0,5.0,14.0,1.0,3.0,10.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,81.0,184.7230320699713,0.2060467061598374,59.821128846470295,118.0
train,924.171084375,impressionist,0.0,1.0,0.0,7.0,9.0,9.0,10.0,7.0,12.0,21.0,21.0,34.0,14.0,17.0,12.0,17.0,37.0,14.0,38.0,20.0,19.0,27.0,45.0,54.0,39.0,38.0,39.0,29.0,40.0,44.0,74.0,81.0,52.0,102.0,103.0,103.0,120.0,193.0,134.0,289.0,208.0,378.0,294.0,328.0,447.0,288.0,291.0,216.0,145.0,168.0,167.0,206.0,198.0,86.0,126.0,90.0,147.0,186.0,120.0,145.0,66.0,88.0,97.0,90.0,75.0,35.0,57.0,44.0,52.0,79.0,33.0,76.0,15.0,104.0,20.0,64.0,4.0,44.0,8.0,40.0,4.0,8.0,0.0,4.0,1.0,3.0,0.0,0.0,84.0,221.10458284371705,0.28015567686840875,56.44621733149931,109.0
